ID,ZIP Code,Personal Loan,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
1,91107,0,25,1,49,4,1.6,1,0,1,0,0,0
2,90089,0,45,19,34,3,1.5,1,0,1,0,0,0
3,94720,0,39,15,11,1,1,1,0,0,0,0,0
4,94112,0,35,9,100,1,2.7,2,0,0,0,0,0
5,91330,0,35,8,45,4,1,2,0,0,0,0,1
6,92121,0,37,13,29,4,0.4,2,155,0,0,1,0
7,91711,0,53,27,72,2,1.5,2,0,0,0,1,0
8,93943,0,50,24,22,1,0.3,3,0,0,0,0,1
9,90089,0,35,10,81,3,0.6,2,104,0,0,1,0
10,93023,1,34,9,180,1,8.9,3,0,0,0,0,0
11,94710,0,65,39,105,4,2.4,3,0,0,0,0,0
12,90277,0,29,5,45,3,0.1,2,0,0,0,1,0
13,93106,0,48,23,114,2,3.8,3,0,1,0,0,0
14,94920,0,59,32,40,4,2.5,2,0,0,0,1,0
15,91741,0,67,41,112,1,2,1,0,1,0,0,0
16,95054,0,60,30,22,1,1.5,3,0,0,0,1,1
17,95010,1,38,14,130,4,4.7,3,134,0,0,0,0
18,94305,0,42,18,81,4,2.4,1,0,0,0,0,0
19,91604,1,46,21,193,2,8.1,3,0,0,0,0,0
20,94720,0,55,28,21,1,0.5,2,0,1,0,0,1
21,94015,0,56,31,25,4,0.9,2,111,0,0,1,0
22,90095,0,57,27,63,3,2,3,0,0,0,1,0
23,90277,0,29,5,62,1,1.2,1,260,0,0,1,0
24,91320,0,44,18,43,2,0.7,1,163,1,0,0,0
25,95521,0,36,11,152,2,3.9,1,159,0,0,0,1
26,94305,0,43,19,29,3,0.5,1,97,0,0,1,0
27,95064,0,40,16,83,4,0.2,3,0,0,0,0,0
28,90064,0,46,20,158,1,2.4,1,0,0,0,1,1
29,94539,0,56,30,48,1,2.2,3,0,0,0,1,1
30,94104,1,38,13,119,1,3.3,2,0,0,1,1,1
31,93106,0,59,35,35,1,1.2,3,122,0,0,1,0
32,94117,0,40,16,29,1,2,2,0,0,0,1,0
33,94801,0,53,28,41,2,0.6,3,193,0,0,0,0
34,91330,0,30,6,18,3,0.9,3,0,0,0,0,0
35,94035,0,31,5,50,4,1.8,3,0,0,0,1,0
36,92647,0,48,24,81,3,0.7,1,0,0,0,0,0
37,94720,0,59,35,121,1,2.9,1,0,0,0,0,1
38,95814,0,51,25,71,1,1.4,3,198,0,0,0,0
39,94114,1,42,18,141,3,5,3,0,1,1,1,0
40,94115,0,38,13,80,4,0.7,3,285,0,0,1,0
41,92672,0,57,32,84,3,1.6,3,0,1,0,0,0
42,94122,0,34,9,60,3,2.3,1,0,0,0,0,0
43,90019,1,32,7,132,4,1.1,2,412,0,0,1,0
44,95616,0,39,15,45,1,0.7,1,0,0,0,1,0
45,94065,0,46,20,104,1,5.7,1,0,0,0,1,1
46,94720,0,57,31,52,4,2.5,1,0,0,0,0,1
47,95014,0,39,14,43,3,0.7,2,153,0,0,1,0
48,91380,1,37,12,194,4,0.2,3,211,1,1,1,1
49,95747,0,56,26,81,2,4.5,3,0,0,0,0,1
50,92373,0,40,16,49,1,1.8,1,0,0,0,0,1
51,92093,0,32,8,8,4,0.7,2,0,1,0,1,0
52,94720,0,61,37,131,1,2.9,1,0,0,0,1,0
53,94005,0,30,6,72,1,0.1,1,207,0,0,0,0
54,90245,1,50,26,190,3,2.1,3,240,0,0,1,0
55,95819,0,29,5,44,1,0.2,3,0,0,0,1,0
56,94022,0,41,17,139,2,8,1,0,0,0,1,0
57,94005,0,55,30,29,3,0.1,2,0,1,1,1,0
58,95616,1,56,31,131,2,1.2,3,0,0,0,0,0
59,94065,0,28,2,93,2,0.2,1,0,0,0,0,0
60,91320,0,31,5,188,2,4.5,1,455,0,0,0,0
61,90404,0,49,24,39,3,1.7,2,0,1,0,1,0
62,93407,0,47,21,125,1,5.7,1,112,1,0,0,0
63,90089,0,42,18,22,1,1,1,0,0,0,0,0
64,94523,0,42,17,32,4,0,2,0,0,0,1,0
65,90024,0,47,23,105,2,3.3,1,0,0,0,0,0
66,91360,0,59,35,131,1,3.8,1,0,0,0,1,1
67,95670,0,62,36,105,2,2.8,1,336,0,0,0,0
68,95123,0,53,23,45,4,2,3,132,1,0,0,0
69,93407,0,47,21,60,3,2.1,1,0,0,0,1,1
70,90045,0,53,29,20,4,0.2,1,0,0,0,1,0
71,91335,0,42,18,115,1,3.5,1,0,0,0,0,1
72,93907,0,53,29,69,4,1,2,0,0,0,1,0
73,92007,0,44,20,130,1,5,1,0,0,0,0,1
74,94606,0,41,16,85,1,4,3,0,0,0,1,1
75,94611,0,28,3,135,2,3.3,1,0,0,0,0,1
76,94901,1,31,7,135,4,3.8,2,0,0,1,1,1
77,91320,0,58,32,12,3,0.3,3,0,0,0,0,0
78,92220,0,46,20,29,3,0.5,2,0,0,0,0,0
79,93305,1,54,30,133,2,2.6,3,0,0,0,0,0
80,94720,0,50,26,19,2,0.4,1,118,0,0,1,0
81,95134,0,60,36,41,4,1.3,1,174,0,0,1,1
82,94612,0,47,22,40,3,2.7,2,0,0,0,1,0
83,92507,0,41,16,82,1,4,3,0,0,0,1,0
